Rank,X,University name,scholarly_output_2017,citation_count_2016,citation_count_growth_acc,publications_in_top_1percent_journal_2017,publications_in_top_5percent_journal_growth_acc,outputs_in_top_1percent_citation_2016,outputs_in_top_10percent_citation_2016,outputs_in_top_25percent_citation_2016,outputs_in_top_25percent_citation_avg,top_500_authors_citacions_avg,outputs_in_top_10percent_citation_articles_only_2017,outputs_in_top_25percent_citation_articles_only_2017,citations_per_publication_articles_conference_papers_avg,citations_per_publication_articles_conference_papers_growth,outputs_in_top_10percent_citation_articles_reviews_conference_papers_growth,outputs_in_top_10percent_citation_avg,outputs_in_top_1percent_citation_avg,class,class1
25,24, Duke University,5512,69406,-9387,233,51,164,1158,2400,2341.8,757.086,810,1747,1.514415,-0.566572,52.75,1099.6,158.2,class_0,2
26,25, University of Hong Kong (HKU),9051,135195,-4134.666667,540,117,382,2197,4276,4360.6,1471.438,1844,3482,4.324529,0.148145,-19,2218.6,384.8,class_0,2
27,26, The University of Manchester,9225,161595,-666.333333,653,69,483,2784,4831,4718.6,2705.016,124,216,17.854886,-6.742828,4.5,2661.0,492.2,class_0,2
28,27, University of California Berkeley (UCB),17603,252449,-19032.333333,813,-37,648,3853,7742,7839.4,2305.606,149,274,14.957051,-5.068262,-11.75,3831.0,630.2,class_0,2
29,28, Australian National University (ANU),8134,116802,-7967.333333,345,-65,300,2034,3917,3780.8,2357.768,1247,2603,14.434108,-4.796431,64,1882.6,278.6,class_0,2
30,29, University of Toronto,12839,161605,-14960.333333,615,144,452,2815,5439,5423.6,1460.642,2204,4302,13.497183,-4.155998,139.25,2733.0,433.8,class_0,2
31,30, Northwestern University,7948,116913,-5997.333333,429,-43,309,1892,3632,3635.6,1135.546,1176,2333,16.791662,-5.799177,-14.5,1869.8,309.2,class_0,2
32,31, The Hong Kong University of Science and Technology (HKUST),12139,178994,-6542.666667,703,13,500,2877,5621,5768,1629.8,148,245,6.088066,-2.128874,3,2945.8,510.0,class_0,2
33,32, King's College London (KCL),8721,115448,-9242,385,40,291,1929,3880,3914,1375.738,1688,3636,3.794265,-1.085269,-5,1885.4,281.8,class_0,2
34,33, Kyoto University,8356,133020,-9852.333333,528,166,373,2110,3946,4009.2,1827.724,1897,3432,18.929122,-6.232268,-4.25,2115.4,380.4,class_0,2
35,34, McGill University,8275,89883,-2849.666667,242,270,165,1402,3149,3158.2,877.482,1062,2437,10.677893,-3.352717,27.5,1375.2,182.8,class_0,2
36,35, University of California Los Angeles (UCLA),10276,112967,-9134.333333,327,155,211,1592,3837,3837,1059.71,1446,3619,3.105364,-0.85916,11.75,1580.8,213.4,class_0,2
37,36, Seoul National University (SNU),2718,43657,-3255,176,65,118,770,1386,1352.8,731.954,597,1080,14.513089,-4.624624,-1,735.8,131.8,class_0,2
38,37, The University of Melbourne,1718,11870,-1707.333333,82,-53,19,219,480,521.2,113.362,122,326,10.173823,-3.223853,2,218.6,24.4,class_0,2
39,38, New York University (NYU),10948,148323,-9123,485,-47,342,2367,4784,4889.4,1793.786,1896,3862,4.001171,-1.193663,-10.5,2327.4,350.8,class_0,2
40,39, Fudan University,3989,40569,-1434.666667,196,-84,97,748,1511,1500.2,467.072,147,350,12.515383,-4.746094,5.75,705.0,93.6,class_0,2
41,40, KAIST - Korea Advanced Institute of Science and Technology,9686,163065,-6987,579,45,487,2626,4885,4909.6,1952.808,289,453,16.648036,-5.724879,-39,2593.6,466.6,class_0,2
42,41, The University of Sydney,10763,145528,-16828,393,-79,324,2166,4552,4563.6,1401.214,1909,4246,13.620005,-4.120403,35,2127.2,319.4,class_0,2
43,42, The University of New South Wales (UNSW),8554,109480,-8398,381,-55,273,1854,3584,3535,1215.744,100,191,16.670211,-5.896203,-14.25,1774.6,300.0,class_0,2
44,43, London School of Economics and Political Science (LSE),9065,101561,-12312.666667,310,-40,225,1744,3758,3666.4,847.248,1303,2838,1.276954,-0.344192,75.75,1698.0,224.2,class_0,2
45,44, University of California San Diego (UCSD),9199,111845,-10275.333333,393,17,261,1882,3835,3922,940.3,1207,2681,2.19339,-0.560023,156.25,1836.8,255.8,class_0,2
46,45, The Chinese University of Hong Kong (CUHK),3863,50275,-1071.333333,143,142,129,880,1710,1691.2,797.138,532,839,16.040169,-5.558911,1.25,851.8,143.4,class_0,2
47,46, The University of Queensland (UQ),10084,144246,-1787.333333,424,-6,370,2252,4584,4612,1422.282,119,196,14.906253,-5.242244,-30.75,2202.2,360.2,class_0,2
48,47, Carnegie Mellon University,9276,119357,-5381,378,138,309,2004,4249,4340.2,1089.5,1627,3408,14.358191,-4.971587,-6.75,2032.6,292.4,class_0,2
49,48, University of Bristol,4817,63478,-7862.666667,215,53,181,981,1953,2012.8,73.69,851,1612,9.154514,-3.459163,76.5,1011.6,183.0,class_0,2
50,49, Delft University of Technology,8724,119240,-2723.666667,329,92,277,1882,3862,3798.8,1737.814,1277,2801,3.145412,-1.365603,54.75,1828.4,249.6,class_0,2
51,50, University of British Columbia,5622,80091,-6156,226,9,187,1269,2533,2533.2,1663.75,1001,1993,15.437204,-5.125655,-1.75,1244.6,194.2,class_0,2
52,51, City University of Hong Kong,5199,46668,-3453,197,64,89,918,2007,1998,476.912,663,1468,9.751835,-3.099218,50,895.8,102.0,class_0,2
53,52, Université PSL (Paris Sciences & Lettres),8909,110474,-4515,383,-131,272,1977,3980,4032.8,2333.166,1330,2807,14.367863,-5.229114,4.25,1971.0,283.0,class_0,2
54,53, Zhejiang University,4210,57996,-5252.666667,176,-101,115,853,1738,1740.8,1025.1,755,1659,15.721454,-5.337174,-3,837.8,123.2,class_0,2
55,54, Technische Universität München,3487,41132,-4510.333333,194,-25,109,772,1431,1547,548.324,826,1550,12.481143,-3.652791,53.5,822.0,127.0,class_0,2
56,55, University of Wisconsin-Madison,4431,66203,950.333333,190,-42,131,954,1894,1924.8,1068.652,74,116,14.357191,-5.117546,-16,938.4,146.2,class_0,2
57,56, Brown University,8275,125886,-6516.666667,388,72,339,2093,4022,4016,2576.514,1274,2721,16.642339,-5.57875,36.5,2009.2,314.2,class_0,2
58,57, Monash University,3842,35406,-1951,94,95,72,608,1303,1298.8,628.006,525,1243,2.114672,-0.73005,9,572.4,68.4,class_0,2
59,58, Tokyo Institute of Technology,9517,127900,-10174,397,195,291,1957,4020,4109.6,994.184,105,200,13.676739,-4.351842,-9,1926.0,268.6,class_0,2
60,59, Ecole Polytechnique,15404,139798,-13083.333333,399,180,269,2451,5371,5443.4,968.396,241,570,10.397832,-3.297146,210,2446.8,281.4,class_0,2
61,60, Shanghai Jiao Tong University,7861,94964,-6505.333333,299,253,250,1666,3312,3225.4,875.988,392,780,11.668455,-3.733022,38.25,1547.2,226.6,class_0,2
62,61, The University of Warwick,6912,109294,2627.666667,286,168,305,1806,3301,3275.4,1857.298,1347,2583,4.313344,-1.036817,4.75,1675.0,277.0,class_0,2
63,62, Ludwig-Maximilians-Universität München,8707,123445,-1821.333333,445,47,364,2179,4131,4028.2,944.934,1705,3495,13.751043,-4.956205,40.5,2031.8,342.0,class_0,2
64,63, University of Amsterdam,6982,118363,-7192,258,202,315,1796,3393,3285.2,2739.556,63,98,16.351712,-5.353723,-3.25,1693.0,288.0,class_0,2
65,64, University of Texas at Austin,1879,24550,-3222.333333,61,11,59,439,902,900.6,1116.912,11,15,13.294822,-3.912333,12.5,442.0,67.6,class_0,2
66,65, Ruprecht-Karls-Universität Heidelberg,12775,213342,-10629.666667,775,229,580,3306,6276,6162.8,2490.49,2150,4171,18.098147,-6.483274,45.75,3204.0,584.6,class_0,2
67,66, University of Glasgow,6436,56686,-796.666667,153,273,120,976,2217,2303.6,786.156,828,2189,1.447682,-0.584639,-7,958.4,117.2,class_0,2
68,67, University of Washington,13254,121880,-9762.333333,425,301,257,2254,4929,5005.2,950.454,1850,3946,1.460602,-0.256649,262.5,2296.4,278.2,class_0,2
69,68, National Taiwan University (NTU),5937,78285,-5720.333333,338,84,222,1337,2529,2527.2,979.396,29,56,17.933105,-6.110371,45,1297.6,207.4,class_0,2
70,69, Universiti Malaya (UM),4901,74765,-6641.666667,246,30,205,1105,2170,2156.4,3429.644,84,149,2.96953,-1.150562,-1.75,1087.2,190.2,class_0,2
71,70, Osaka University,7622,101608,1253,338,91,230,1644,3329,3264,1258.772,1385,3001,12.265082,-4.330762,-20.5,1599.2,222.6,class_0,2
72,71, Georgia Institute of Technology (Georgia Tech),6273,70160,-4034.666667,216,43,122,989,2294,2405,2490.49,925,2063,11.515472,-3.559187,19.75,1004.4,126.8,class_0,2
73,72,University of Copenhagen (81),3339,24850,1331.333333,47,11,39,398,939,964.4,357.412,264,680,7.677628,-2.649992,1.75,378.4,54.4,class_0,2
74,73, Universidad de Buenos Aires,2652,32531,1391,94,49,54,596,1181,1183.6,408.298,42,79,12.833959,-4.576101,-18.5,579.4,66.6,class_0,2
75,74, University of Illinois at Urbana-Champaign,5,5,7.666667,NA,2,0,0,NA,NA,2492.042,3,2,NA,NA,0,0.333333,0.0,class_0,2
76,75, University of Zurich,5205,72221,-2884.666667,204,168,163,1090,2213,2097,1191.956,933,1808,14.764052,-5.006501,15,1023.4,149.6,class_0,2
77,76, Sorbonne University,6246,57072,3253.666667,159,269,96,929,2219,2205.6,595.486,647,1703,9.19376,-3.189416,-4,870.6,92.2,class_0,2
78,77, Durham University,7423,103005,-10771.333333,354,-80,275,1659,3266,3398,1527.42,63,118,15.867585,-5.190361,27.25,1688.4,279.0,class_0,2
79,78, The University of Sheffield,5244,81737,-7726.666667,216,27,224,1279,2386,2350.6,2275.534,1009,1900,15.830581,-4.807512,-2.25,1197.8,198.4,class_0,2
80,79, Katholieke Universiteit Leuven,10502,164400,-5872.333333,519,20,431,2719,5351,5246.8,1967.296,2177,4323,2.201811,-0.651108,10.25,2594.4,411.8,class_0,2
81,80, University of Birmingham,9045,116415,-6738.333333,425,152,316,1921,3959,4091.6,1077.434,1645,3338,4.061299,-1.274193,12.25,1951.4,290.0,class_0,2
82,81, Tohoku University,5318,66780,-1286.666667,202,98,150,1056,2202,2154,578.296,62,129,14.552758,-5.029668,16,1014.4,132.8,class_0,2
83,82, Korea University,1963,24278,-2985.666667,146,-47,72,441,916,920.2,384.602,389,755,12.090089,-3.812548,0,448.6,65.6,class_0,2
84,83, Lomonosov Moscow State University,8452,124996,-2243.666667,459,288,325,1907,3876,3877,992.014,1247,2621,17.102311,-6.326149,16.5,1884.2,314.8,class_0,2
85,84, Rice University,4731,49141,-5887,167,-153,97,770,1741,1789.4,513.17,44,95,11.999281,-3.653129,23,799.4,109.8,class_0,2
86,85, The University of Western Australia (UWA),5281,53593,-3510.333333,170,35,99,858,1962,2003.2,875.918,56,134,10.407378,-3.473947,38,880.0,115.2,class_0,2
87,86, Pohang University of Science and Technology (POSTECH),2213,32035,562.666667,154,22,94,583,1080,1067.2,970.616,19,36,17.042467,-6.605608,-14,587.8,105.6,class_0,2
88,87,The University of Auckland(83),4464,52652,-3549,84,46,129,999,1924,1742.6,722.128,762,1565,1.232035,-0.552646,4.75,858.8,124.0,class_0,2
89,88, University of Science and Technology of China,9228,115978,-6501.666667,361,162,263,1968,3909,4003.2,1830.794,1723,3724,14.557597,-4.934912,1,1960.4,299.0,class_1,1
90,89, University of North Carolina Chapel Hill,7392,51870,-5951.333333,46,143,102,681,1586,1637.4,1365.176,622,1672,1.440352,-0.583826,41.25,654.4,96.2,class_1,1
91,90, The Hong Kong Polytechnic University,5322,77332,-5275,226,47,168,1163,2486,2419.8,1105.812,990,2262,3.482476,-1.166788,10,1122.0,158.0,class_1,1
92,91, Lund University,6188,88359,-6194,302,30,218,1375,2875,2840,1198.104,85,181,14.835558,-4.950432,4,1331.2,204.4,class_1,1
93,92, Pennsylvania State University,5937,87670,2971,349,141,228,1473,2774,2778.8,1323.224,98,169,16.919878,-6.30443,-2.5,1419.4,234.8,class_1,1
94,93, University of Leeds,4738,50017,-2951.666667,252,0,124,976,1977,2020.4,488.47,84,156,12.726896,-4.553422,48.75,967.2,118.2,class_1,1
95,94, Sungkyunkwan University,8711,102258,-2873.333333,372,241,256,1768,3639,3654.2,997.138,1315,2760,12.108498,-4.211466,35.25,1707.8,223.2,class_1,1
96,95, The University of Nottingham,5646,86379,-6512.666667,210,122,204,1343,2636,2479,755.938,1049,2085,17.197831,-5.739988,14,1232.0,183.6,class_1,1
97,96, University of Southampton,2091,24831,-1066.333333,92,-13,71,434,911,919.8,298.51,32,66,2.582038,-0.75374,4.25,433.6,57.6,class_1,1
98,97, Boston University,7409,86589,-4067.666667,334,155,257,1596,2928,3106.4,1593.062,1468,2770,3.375222,-1.15795,-1,1647.0,279.4,class_1,1
99,98, KTH Royal Institute of Technology,2888,27164,-1180.333333,124,134,57,514,1107,1115,374.668,19,33,8.877723,-2.83925,41.25,493.0,60.2,class_1,1
100,99, University of St Andrews,7127,65569,-3089.333333,213,97,151,1204,2526,2624.6,1317.372,67,113,2.750747,-1.018622,22.25,1203.8,143.8,class_1,1
101,100, Ohio State University,5432,62204,-10731,187,-102,125,937,2102,2096,916.91,863,2073,11.374248,-3.673523,24.5,926.0,133.6,class_1,1
102,101, Eindhoven University of Technology,7844,99903,1515.333333,308,106,227,1668,3554,3681.4,1433.02,1058,2435,4.77535,-1.404599,-1.5,1742.8,241.4,class_1,1
103,102, Universidad Nacional Autónoma de México (UNAM),6374,106360,-6393.333333,373,-113,320,1608,3027,3131.6,1116.998,1439,2978,18.758816,-6.59533,1.75,1631.0,308.4,class_1,1
104,103, University of California Davis (UCD),4382,48381,-3215,148,120,106,809,1754,1772.2,614.258,792,1733,14.458665,-4.764426,46.25,819.0,102.2,class_1,1
105,104, Yonsei University,3033,42128,-2048.666667,125,66,110,584,1170,1197.8,487.236,501,1140,14.278371,-4.850739,17.5,559.6,89.4,class_1,1
106,105, The University of Adelaide,4473,41995,-3864.333333,276,85,102,824,1623,1798.4,481.966,716,1440,13.515637,-3.83611,-1.25,900.0,121.8,class_1,1
107,106, University of Helsinki,5716,59471,-202.333333,212,98,103,875,2124,2088,670.308,644,1609,9.335665,-3.393505,0,830.0,98.0,class_1,1
108,107, Trinity College Dublin (TCD),4614,74744,-2650,194,157,201,1193,2223,2162.8,1806.46,30,70,17.000677,-5.58631,8.75,1105.2,181.0,class_1,1
109,108, Washington University in St. Louis,7430,87021,-3906,276,94,195,1497,3195,3194.2,933.342,74,140,12.402259,-4.156518,62.75,1436.4,187.4,class_1,1
110,109, University of Geneva,6225,97647,-3075,246,28,206,1317,2809,2777.4,1624.186,1133,2593,15.822332,-5.272064,7,1280.6,199.0,class_1,1
111,110, Purdue University,4950,45618,532.333333,96,169,71,744,1669,1783.4,663.898,649,1689,2.006849,-0.679158,12,752.4,80.4,class_1,1
112,111, Technical University of Denmark,4632,57756,-4594.666667,224,45,121,1044,2100,2086,639.532,135,336,15.856259,-5.9951,47.25,1003.0,114.2,class_1,1
113,112, University of Alberta,6478,45416,-829.666667,111,111,75,600,1705,1704,372.614,563,1632,6.479613,-2.131186,40.25,584.6,64.2,class_1,1
114,113, University of Groningen,4811,82506,-11455,257,-110,213,1164,2271,2202.6,1129.928,85,162,17.447324,-5.133955,78,1107.6,194.0,class_1,1
115,114, Nagoya University,7397,89984,-5349.666667,341,-4,209,1543,3223,3187,879.248,1346,2932,13.6994,-4.86335,51.75,1520.0,227.0,class_1,1
116,115, Universidade de São Paulo (USP),4617,51000,1610.666667,122,260,110,899,1911,1896.6,1816.736,750,1513,10.546891,-4.014799,17.75,873.8,108.8,class_1,1
117,116, Uppsala University,5974,87452,-9047.666667,244,276,208,1418,2812,2753.6,1215.414,86,162,13.985719,-4.326842,-1.25,1307.2,196.6,class_1,1
118,117, Leiden University,14510,116495,-8818.333333,235,432,200,1660,4324,4363,847.996,1006,2889,1.741219,-0.377563,33.25,1622.6,183.6,class_1,1
119,118, University of Oslo,3845,63555,-4831.666667,204,66,174,981,1819,1756,1108.478,93,191,18.578868,-6.102925,54,903.4,163.4,class_1,1
120,119, Humboldt-Universität zu Berlin,6310,89094,-9331.333333,307,78,215,1456,2974,3000.4,972.47,1358,2868,15.132234,-5.059377,6.75,1444.0,226.2,class_1,1
121,120, Nanjing University,2803,28380,-694,115,43,68,548,1072,1213.8,894.748,522,1029,2.483756,-0.728737,21.5,579.2,86.8,class_1,1
122,121, Utrecht University,5756,83730,-8290.666667,279,28,237,1497,2867,2802.4,924.748,1299,2621,15.878906,-5.354098,33.5,1427.2,211.0,class_1,1
123,122, University of Bern,7301,92097,-10637,284,316,225,1669,3219,3207.4,979.104,1662,3141,13.257107,-4.015474,91,1615.4,214.0,class_1,1
124,123, KIT Karlsruher Institut für Technologie,7850,110077,-6870,480,-101,302,2031,3936,3905,1242.042,67,111,15.676953,-5.349904,-32,1949.6,296.0,class_1,1
125,124, Chalmers University of Technology,3574,59879,-5778,229,11,152,989,1975,1990.4,NA,817,1559,5.202516,-2.991987,-3,991.6,139.6,class_1,1
126,125, Queen Mary University of London (QMUL),5069,45589,-1829.333333,135,221,101,738,1676,1676.6,613.236,636,1639,9.469362,-3.138789,0.5,708.2,87.8,class_1,1
127,126, Pontificia Universidad Católica de Chile,6738,95143,-5687.333333,353,154,244,1557,3051,2965,1533.872,1146,2312,4.50251,-1.359873,2.5,1481.6,236.4,class_1,1
128,127, Lancaster University,2869,26307,-1027.333333,97,24,51,504,1080,1114.6,333.494,349,765,10.118516,-3.278684,21.5,509.2,60.2,class_1,1
129,128, University of Southern California,4460,37301,-109,110,73,69,626,1559,1512.2,365.906,34,100,1.296557,-0.48315,3.5,591.4,53.6,class_1,1
130,129, Freie Universität Berlin,2786,27992,208.333333,99,29,54,484,1088,1196.2,283.418,52,96,10.007439,-3.437001,17.25,522.8,58.8,class_1,1
131,130, University of Ghent,2514,32634,-2462,125,126,84,563,1105,1069.2,949.366,78,140,12.89428,-3.923466,29.5,533.2,86.0,class_1,1
132,131, Hokkaido University,2907,30068,-3154.666667,50,15,54,486,966,930.8,373.134,363,806,2.551053,-0.59034,5.5,444.8,59.8,class_1,1
133,132, Kyushu University,3453,55060,2503,190,162,151,970,1680,1706.6,1333.882,110,214,18.780604,-7.299312,11,937.4,146.6,class_1,1
134,133, Aalto University,2918,34825,-3698,123,-59,72,521,1126,1151.2,348.476,397,873,12.356859,-3.865743,8.75,522.8,70.2,class_1,1
135,134, University of California Santa Barbara (UCSB),6457,89813,-8159.333333,267,105,217,1309,2709,2719.8,1466.948,1158,2383,15.539705,-5.173579,20.75,1259.2,199.0,class_1,1
136,135, University of Maryland College Park,8881,133929,-3744,430,103,332,2071,4108,4201.4,1334.174,1310,2755,1.643506,-0.345516,-41.75,2056.8,321.2,class_1,1
137,136, Université de Montréal,2052,12620,-568,28,-36,25,210,510,525.6,152.08,161,383,6.184817,-2.050082,4.5,200.2,19.0,class_1,1
138,137, Rheinisch-Westfälische Technische Hochschule Aachen,7616,94181,-4439,310,95,223,1622,3359,3436.6,1466.222,1272,2714,2.484791,-0.668811,48.25,1614.8,220.6,class_1,1
139,138, CentraleSupélec,5037,65318,-5477.333333,200,-50,174,1166,2336,2333.2,1061.742,1039,2234,2.283991,-0.532954,10.25,1122.8,178.2,class_1,1
140,139, McMaster University,2979,37023,-278.666667,93,-20,71,584,1265,1225.6,388.146,501,1074,3.873048,-1.410467,-3.5,555.6,63.6,class_1,1
141,140, University of Pittsburgh,6707,86847,-6169.333333,309,58,210,1409,3100,3074.2,831.154,968,2172,14.681175,-4.77861,48.25,1407.0,184.4,class_1,1
142,141, University of Technology Sydney (UTS),6102,64226,1114,212,18,140,1123,2406,2447.8,1136.528,108,211,13.205687,-4.957375,-8.5,1134.2,143.6,class_1,1
143,142,Wageningen University (125),4327,53257,-3269.666667,231,58,121,936,1871,1832,526.924,840,1824,1.865789,-0.544688,37,893.8,128.4,class_1,1
144,143, Michigan State University,5552,65449,3538.333333,163,80,149,1052,2141,2116.4,2583.144,169,453,14.914827,-5.68011,49.25,1005.8,138.4,class_1,1
145,144, Aarhus University,3981,63399,-1329.666667,196,16,129,844,1751,1695.4,1262.5,57,120,14.338686,-4.932565,-5.25,806.0,120.8,class_1,1
146,145, Newcastle University,5116,73354,-9178.666667,197,14,175,1038,2146,2134.2,805.056,804,1639,15.19883,-4.950601,-12.25,1001.0,162.0,class_1,1
147,146, Technische Universität Berlin,2964,25631,-945,85,136,47,481,1047,1026.8,297.93,318,745,8.614388,-2.975799,38.5,450.6,54.6,class_1,1
148,147, University of York,6303,100754,-3817,348,-90,272,1435,2886,2970.4,1013.874,1168,2321,17.528894,-6.128468,-51,1491.0,251.0,class_1,1
149,148, Politecnico di Milano,5576,72422,-7468.333333,213,78,176,1154,2333,2341.4,901.832,865,1845,13.000107,-7.554477,-13.25,1099.8,178.2,class_1,1
150,149, Hanyang University,3868,45935,-4016.333333,155,0,115,839,1694,1672,510.49,676,1358,13.552975,-4.880067,-2.25,805.6,125.2,class_1,1
151,150, University of Basel,3844,44792,-5958,136,192,94,624,1400,1382.2,454.494,26,91,9.271729,-2.475473,71,623.4,85.8,class_1,1
152,151, Indian Institute of Technology Bombay (IITB),4555,61411,-1976.666667,193,-94,152,934,1892,1895.8,1552.096,801,1621,13.452021,-4.200175,-3.5,926.2,145.2,class_1,1
153,152, University of Lausanne,1560,19780,440.333333,47,103,42,324,729,688.6,227.37,8,16,11.866481,-4.664246,12.5,321.4,38.4,class_1,1
154,153, Cardiff University,3266,32469,-1466.333333,126,87,71,534,1195,1261.6,298.242,341,818,2.276036,-0.547587,-1,556.6,68.8,class_1,1
155,154, Universität Wien,3163,39193,-634.333333,198,8,101,707,1431,1474.8,492.56,653,1369,14.468555,-5.175137,25.75,748.2,109.6,class_1,1
156,155, Emory University,4524,33216,-761.333333,100,27,50,596,1381,1447.8,375.57,554,1327,1.620399,-0.66359,26.25,586.8,56.4,class_1,1
157,156, University of Minnesota,10089,128404,-1511.333333,418,172,288,2195,4392,4395.6,1358.06,96,173,4.282827,-1.441327,-38.25,2116.6,300.2,class_1,1
158,157, Tecnológico de Monterrey (ITESM),2196,22711,-2491,106,55,53,376,846,853,289.008,393,806,2.134772,-0.748039,6.25,388.0,50.8,class_1,1
159,158, Universiti Putra Malaysia (UPM),6186,78222,-3670.666667,198,157,171,1241,2533,2536.8,872.244,29,65,13.441418,-4.055628,82.5,1215.6,177.8,class_1,1
160,159, Ecole Normale Supérieure de Lyon,4094,59514,-219.666667,203,156,142,936,1906,1951,691.33,849,1601,5.329248,-1.200946,-3.5,964.8,150.4,class_1,1
161,160, Universiti Kebangsaan Malaysia (UKM),3489,30880,-2494.333333,138,31,79,589,1180,1248.6,416.264,146,318,10.222692,-3.245043,109.25,587.0,87.8,class_1,1
162,161, Hebrew University of Jerusalem,2594,15439,-1982.666667,54,92,23,283,699,755,288.436,316,758,10.161689,-3.457646,11.5,299.6,27.4,class_1,1
163,162, University of Bergen,2354,34766,-1639.333333,80,123,80,466,909,886.2,432.462,316,670,1.819721,-0.539524,22.5,415.6,62.8,class_1,1
164,163, University of Exeter,4390,46801,-3139.333333,151,20,103,769,1614,1689,442.574,167,305,9.728145,-3.243532,-3.25,759.8,99.0,class_1,1
